Country;Year;Top_10%;Top_1%
Germany;2007;0.3703;0.1361
Germany;2008;0.3675;0.1345
Germany;2009;0.3724;0.1297
Germany;2010;0.3668;0.1286
Germany;2011;0.3678;0.1279
Germany;2012;0.3632;0.1258
Germany;2013;0.3776;0.131
Germany;2014;0.3826;0.1325
Germany;2015;0.3818;0.1326
Germany;2016;0.381;0.1325
Germany;2017;0.3778;0.1317
Germany;2018;0.3729;0.1294
Germany;2019;0.3722;0.1287
Greece;1980;0.3621;0.0992
Greece;1981;0.374;0.1007
Greece;1982;0.3648;0.0957
Greece;1983;0.3557;0.0893
Greece;1984;0.3493;0.0893
Greece;1985;0.3545;0.0925
Greece;1986;0.3353;0.0926
Greece;1987;0.3363;0.0912
Greece;1988;0.3298;0.0909
Greece;1989;0.3244;0.0904
Greece;1990;0.3318;0.0914
Greece;1991;0.3304;0.0932
Greece;1992;0.3282;0.0916
Greece;1993;0.3387;0.0938
Greece;1994;0.3507;0.0963
Greece;1995;0.3535;0.0969
Greece;1996;0.3599;0.1
Greece;1997;0.3784;0.1152
Greece;1998;0.387;0.1216
Greece;1999;0.3954;0.1287
Greece;2000;0.4029;0.1255
Greece;2001;0.3982;0.1233
Greece;2002;0.3789;0.1097
Greece;2003;0.3627;0.1076
Greece;2004;0.3712;0.1144
Greece;2005;0.3747;0.1144
Greece;2006;0.3664;0.1137
Greece;2007;0.3556;0.1067
Greece;2008;0.3315;0.0891
Greece;2009;0.3251;0.0846
Greece;2010;0.3374;0.0881
Greece;2011;0.3142;0.0728
Greece;2012;0.3177;0.0785
Greece;2013;0.3329;0.0994
Greece;2014;0.3574;0.125
Greece;2015;0.3538;0.1222
Greece;2016;0.3467;0.1162
Greece;2017;0.3383;0.1093
Greece;2018;0.3276;0.1092
Greece;2019;0.3253;0.1074
Hungary;1980;0.1817;0.0289
Hungary;1981;0.1802;0.0286
Hungary;1982;0.1788;0.0282
Hungary;1983;0.1728;0.028
Hungary;1984;0.1665;0.0278
Hungary;1985;0.1685;0.0286
Hungary;1986;0.1708;0.0296
Hungary;1987;0.1804;0.0341
Hungary;1988;0.1908;0.0387
Hungary;1989;0.2081;0.046
Hungary;1990;0.2285;0.0539
Hungary;1991;0.2419;0.0596
Hungary;1992;0.2623;0.0677
Hungary;1993;0.2649;0.0711
Hungary;1994;0.2665;0.0703
Hungary;1995;0.2586;0.0729
Hungary;1996;0.2637;0.0801
Hungary;1997;0.2762;0.0829
Hungary;1998;0.2814;0.087
Hungary;1999;0.2916;0.0889
Hungary;2000;0.2891;0.0924
Hungary;2001;0.3079;0.1014
Hungary;2002;0.3243;0.1094
Hungary;2003;0.3238;0.107
Hungary;2004;0.3161;0.1054
Hungary;2005;0.3363;0.1184
Hungary;2006;0.3464;0.1257
Hungary;2007;0.3488;0.1132
Hungary;2008;0.3415;0.1127
Hungary;2009;0.332;0.1105
Hungary;2010;0.3367;0.1143
Hungary;2011;0.328;0.1094
Hungary;2012;0.3181;0.1025
Hungary;2013;0.3327;0.1157
Hungary;2014;0.3288;0.1159
Hungary;2015;0.3295;0.1171
Hungary;2016;0.3306;0.1203
Hungary;2017;0.3357;0.1191
Hungary;2018;0.3359;0.1199
Hungary;2019;0.3395;0.1239
Ireland;1980;0.3107;0.09
Ireland;1981;0.3071;0.0885
Ireland;1982;0.3163;0.091
Ireland;1983;0.3204;0.0922
Ireland;1984;0.3111;0.0894
Ireland;1985;0.3093;0.0882
Ireland;1986;0.3079;0.0877
Ireland;1987;0.3093;0.0874
Ireland;1988;0.3057;0.0877
Ireland;1989;0.3074;0.0895
Ireland;1990;0.3091;0.0904
Ireland;1991;0.318;0.0944
Ireland;1992;0.3264;0.0968
Ireland;1993;0.3233;0.0951
Ireland;1994;0.3313;0.0974
Ireland;1995;0.3307;0.1007
Ireland;1996;0.3168;0.097
Ireland;1997;0.3337;0.1072
Ireland;1998;0.3559;0.1207
Ireland;1999;0.3485;0.1173
Ireland;2000;0.3642;0.1255
Ireland;2001;0.3537;0.1187
Ireland;2002;0.355;0.1206
Ireland;2003;0.3623;0.124
Ireland;2004;0.3602;0.1232
Ireland;2005;0.3704;0.1325
Ireland;2006;0.3744;0.135
Ireland;2007;0.3594;0.1202
Ireland;2008;0.322;0.1026
Ireland;2009;0.3247;0.1001
Ireland;2010;0.3234;0.0992
Ireland;2011;0.3245;0.0987
Ireland;2012;0.31;0.0928
Ireland;2013;0.3227;0.1
Ireland;2014;0.3264;0.1022
Ireland;2015;0.3498;0.1164
Ireland;2016;0.3559;0.1204
Ireland;2017;0.3488;0.1164
Ireland;2018;0.354;0.1197
Ireland;2019;0.3516;0.1179
Italy;1980;0.2458;0.0515
Italy;1981;0.2362;0.0469
Italy;1982;0.2335;0.0456
Italy;1983;0.2328;0.0452
Italy;1984;0.2377;0.0476
Italy;1985;0.2428;0.0506
Italy;1986;0.2552;0.0576
Italy;1987;0.2592;0.0588
Italy;1988;0.2681;0.0617
Italy;1989;0.2709;0.063
Italy;1990;0.2713;0.0624
Italy;1991;0.2704;0.0629
Italy;1992;0.2737;0.0633
Italy;1993;0.2794;0.0658
Italy;1994;0.2819;0.0677
Italy;1995;0.2894;0.0729
Italy;1996;0.2929;0.0747
Italy;1997;0.296;0.0759
Italy;1998;0.3018;0.0791
Italy;1999;0.3013;0.0774
Italy;2000;0.3085;0.082
Italy;2001;0.3146;0.0869
Italy;2002;0.3098;0.0833
Italy;2003;0.3078;0.0832
Italy;2004;0.3074;0.0819
Italy;2005;0.3068;0.0815
Italy;2006;0.3086;0.0827
Italy;2007;0.3104;0.0823
Italy;2008;0.3072;0.0788
Italy;2009;0.3041;0.076
Italy;2010;0.3089;0.0803
Italy;2011;0.3129;0.0821
Italy;2012;0.3116;0.0809
Italy;2013;0.3084;0.0791
Italy;2014;0.3087;0.0799
Italy;2015;0.3075;0.078
Italy;2016;0.3215;0.0888
Italy;2017;0.3289;0.0921
Italy;2018;0.3285;0.0913
Italy;2019;0.3255;0.0891
Japan;1980;0.3649;0.1089
Japan;1981;0.3602;0.1054
Japan;1982;0.3593;0.1048
Japan;1983;0.3612;0.1043
Japan;1984;0.3649;0.1059
Japan;1985;0.3714;0.1088
Japan;1986;0.3795;0.1141
Japan;1987;0.3981;0.1277
Japan;1988;0.4043;0.1305
Japan;1989;0.4125;0.1405
Japan;1990;0.4177;0.1482
Japan;1991;0.4056;0.1386
Japan;1992;0.3641;0.1014
Japan;1993;0.3692;0.1033
Japan;1994;0.3726;0.1016
Japan;1995;0.3831;0.1057
Japan;1996;0.3934;0.1127
Japan;1997;0.3907;0.1067
Japan;1998;0.394;0.1055
Japan;1999;0.4011;0.1081
Japan;2000;0.4132;0.1152
Japan;2001;0.4257;0.1176
Japan;2002;0.4362;0.1207
Japan;2003;0.4442;0.1256
Japan;2004;0.4546;0.1339
Japan;2005;0.4565;0.1383
Japan;2006;0.4585;0.1397
Japan;2007;0.4602;0.14
Japan;2008;0.4507;0.1322
Japan;2009;0.4401;0.1246
Japan;2010;0.4495;0.1308
Japan;2011;0.4473;0.1287
Japan;2012;0.4478;0.1296
Japan;2013;0.4493;0.1315
Japan;2014;0.449;0.1311
Japan;2015;0.45;0.1322
Japan;2016;0.4493;0.1315
Japan;2017;0.4489;0.1311
Japan;2018;0.4489;0.1311
Japan;2019;0.4489;0.1311
Korea;1980;0.3276;0.0953
Korea;1981;0.3245;0.0898
Korea;1982;0.3304;0.0912
Korea;1983;0.3397;0.0976
Korea;1984;0.3388;0.0983
Korea;1985;0.3318;0.0954
Korea;1986;0.3328;0.0946
Korea;1987;0.3382;0.097
Korea;1988;0.3412;0.0976
Korea;1989;0.3404;0.0953
Korea;1990;0.3414;0.0944
Korea;1991;0.3413;0.0926
Korea;1992;0.3409;0.0906
Korea;1993;0.3445;0.0916
Korea;1994;0.3486;0.0931
Korea;1995;0.3515;0.0936
Korea;1996;0.3728;0.0926
Korea;1997;0.3813;0.0968
Korea;1998;0.352;0.0777
Korea;1999;0.3737;0.0926
Korea;2000;0.3863;0.1013
Korea;2001;0.3953;0.1056
Korea;2002;0.4102;0.1152
Korea;2003;0.4167;0.1164
Korea;2004;0.4218;0.1229
Korea;2005;0.4074;0.1219
Korea;2006;0.4479;0.1302
Korea;2007;0.4553;0.139
Korea;2008;0.4614;0.1415
Korea;2009;0.457;0.1399
Korea;2010;0.4659;0.148
Korea;2011;0.4662;0.1498
Korea;2012;0.4622;0.1467
Korea;2013;0.46;0.145
Korea;2014;0.4605;0.1454
Korea;2015;0.464;0.1476
Korea;2016;0.4664;0.1491
Korea;2017;0.4671;0.1498
Korea;2018;0.4666;0.1493
Korea;2019;0.4645;0.1471
Luxembourg;1980;0.3528;0.1352
Luxembourg;1981;0.3528;0.1352
Luxembourg;1982;0.3528;0.1352
Luxembourg;1983;0.3528;0.1352
Luxembourg;1984;0.3528;0.1352
Luxembourg;1985;0.3528;0.1352
Luxembourg;1986;0.3539;0.1362
Luxembourg;1987;0.3568;0.1371
Luxembourg;1988;0.3584;0.1381
Luxembourg;1989;0.361;0.1401
Luxembourg;1990;0.3637;0.1399
Luxembourg;1991;0.3651;0.1404
Luxembourg;1992;0.3644;0.1411
Luxembourg;1993;0.3623;0.1401
Luxembourg;1994;0.3654;0.1414
Luxembourg;1995;0.3676;0.1434
Luxembourg;1996;0.3756;0.1489
Luxembourg;1997;0.3815;0.1525
Luxembourg;1998;0.3907;0.1589
Luxembourg;1999;0.3851;0.1529
Luxembourg;2000;0.3779;0.1453
Luxembourg;2001;0.3824;0.1471
Luxembourg;2002;0.3685;0.1325
Luxembourg;2003;0.3626;0.126
Luxembourg;2004;0.3962;0.1575
Luxembourg;2005;0.4096;0.1692
Luxembourg;2006;0.3578;0.1209
Luxembourg;2007;0.3981;0.163
Luxembourg;2008;0.3847;0.1529
Luxembourg;2009;0.3332;0.103
Luxembourg;2010;0.3668;0.1391
Luxembourg;2011;0.3541;0.1273
Luxembourg;2012;0.3409;0.114
Luxembourg;2013;0.333;0.1063
Luxembourg;2014;0.328;0.1001
Luxembourg;2015;0.3252;0.0974
Luxembourg;2016;0.3283;0.1009
Luxembourg;2017;0.338;0.1068
Luxembourg;2018;0.333;0.1009
Luxembourg;2019;0.3353;0.1037
Netherlands;1980;0.2625;0.0589
Netherlands;1981;0.2627;0.058
Netherlands;1982;0.264;0.0581
Netherlands;1983;0.2691;0.0604
Netherlands;1984;0.271;0.0607
Netherlands;1985;0.2703;0.0599
Netherlands;1986;0.2707;0.0602
Netherlands;1987;0.2701;0.0598
Netherlands;1988;0.2704;0.0596
Netherlands;1989;0.2703;0.0595
Netherlands;1990;0.2657;0.0577
Netherlands;1991;0.2641;0.0574
Netherlands;1992;0.2608;0.0564
Netherlands;1993;0.2631;0.055
Netherlands;1994;0.2681;0.0565
Netherlands;1995;0.2753;0.059
Netherlands;1996;0.275;0.0593
Netherlands;1997;0.2771;0.0607
Netherlands;1998;0.2755;0.0594
Netherlands;1999;0.277;0.0603
Netherlands;2000;0.2767;0.0622
Netherlands;2001;0.288;0.0695
Netherlands;2002;0.2868;0.0682
Netherlands;2003;0.2892;0.0677
Netherlands;2004;0.294;0.0701
Netherlands;2005;0.2972;0.0718
Netherlands;2006;0.2963;0.0709
Netherlands;2007;0.3102;0.0787
Netherlands;2008;0.2855;0.0676
Netherlands;2009;0.2866;0.0656
Netherlands;2010;0.2917;0.0673
Netherlands;2011;0.2894;0.0659
Netherlands;2012;0.2926;0.0657
Netherlands;2013;0.2843;0.0636
Netherlands;2014;0.2928;0.0687
Netherlands;2015;0.2926;0.0688
Netherlands;2016;0.2923;0.069
Netherlands;2017;0.299;0.0706
Netherlands;2018;0.296;0.0699
Netherlands;2019;0.2941;0.0691
New Zealand;1980;0.2911;0.0616
New Zealand;1981;0.2904;0.0613
New Zealand;1982;0.2952;0.0622
New Zealand;1983;0.3095;0.0697
New Zealand;1984;0.3025;0.0691
New Zealand;1985;0.2907;0.0657
New Zealand;1986;0.2789;0.0579
New Zealand;1987;0.2763;0.0635
New Zealand;1988;0.2821;0.0659
New Zealand;1989;0.3045;0.0814
New Zealand;1990;0.3308;0.0999
New Zealand;1991;0.3174;0.0868
New Zealand;1992;0.3303;0.0933
New Zealand;1993;0.3382;0.0986
New Zealand;1994;0.3387;0.1022
New Zealand;1995;0.3383;0.1032
New Zealand;1996;0.326;0.098
New Zealand;1997;0.3373;0.1052
New Zealand;1998;0.3548;0.1168
New Zealand;1999;0.359;0.1316
New Zealand;2000;0.3297;0.0969
New Zealand;2001;0.3401;0.1042
New Zealand;2002;0.3399;0.1048
New Zealand;2003;0.3433;0.1122
New Zealand;2004;0.344;0.1172
New Zealand;2005;0.3278;0.1027
New Zealand;2006;0.3029;0.0912
New Zealand;2007;0.301;0.0913
New Zealand;2008;0.2963;0.0906
New Zealand;2009;0.3151;0.0994
New Zealand;2010;0.3117;0.0951
New Zealand;2011;0.326;0.1026
New Zealand;2012;0.343;0.1137
New Zealand;2013;0.3324;0.1019
New Zealand;2014;0.3338;0.1039
New Zealand;2015;0.3383;0.1096
New Zealand;2016;0.337;0.1117
New Zealand;2017;0.3445;0.1177
New Zealand;2018;0.3465;0.1194
New Zealand;2019;0.3457;0.1187
Norway;1980;0.2723;0.0746
Norway;1981;0.2672;0.0732
Norway;1982;0.2629;0.071
Norway;1983;0.2592;0.0697
Norway;1984;0.2653;0.0776
Norway;1985;0.2678;0.0796
Norway;1986;0.2391;0.0572
Norway;1987;0.2366;0.0555
Norway;1988;0.229;0.0499
Norway;1989;0.2308;0.0566
Norway;1990;0.2339;0.0584
Norway;1991;0.2357;0.0597
Norway;1992;0.2452;0.0687
Norway;1993;0.2623;0.0802
Norway;1994;0.2741;0.0848
Norway;1995;0.275;0.0848
Norway;1996;0.2918;0.0974
Norway;1997;0.3062;0.1056
Norway;1998;0.2828;0.0888
Norway;1999;0.2931;0.0983
Norway;2000;0.3253;0.1258
Norway;2001;0.3007;0.1062
Norway;2002;0.3051;0.114
Norway;2003;0.3123;0.1183
Norway;2004;0.3194;0.1226
Norway;2005;0.3265;0.1269
Norway;2006;0.3336;0.1312
Norway;2007;0.3362;0.1308
Norway;2008;0.3412;0.1379
Norway;2009;0.3092;0.1095
Norway;2010;0.3252;0.1223
Norway;2011;0.3276;0.1224
Norway;2012;0.3297;0.1241
Norway;2013;0.324;0.1186
Norway;2014;0.322;0.1151
Norway;2015;0.3064;0.0981
Norway;2016;0.3052;0.0961
Norway;2017;0.3083;0.1
Norway;2018;0.3189;0.1087
